rank,stadium,capacity,region,country,city,images,home_team,location
53,Estádio Nacional Mané Garrincha,72788,South America,Brazil,"Brasília, Distrito Federal",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg/150px-Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg,"Brasília FC, Legião FC","[-25.7117, -52.9225]"
54,Stadio Olimpico,72698,Europe,Italy,"Rome, Lazio",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg/150px-The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg,"AS Roma, Lazio","[42.7083003, 13.8781925]"
55,Nissan Stadium,72327,East Asia,Japan,"Yokohama, Kanagawa",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/International_Stadium_Yokohama-1.jpg/150px-International_Stadium_Yokohama-1.jpg,"Yokohama F. Marinos, Yokohama Eagles","[35.510054843, 139.606363752]"
56,NRG Stadium,72220,North America,United States,"Houston, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/The_Texans_at_Reliant_Park_1_Jan_2012.jpg/150px-The_Texans_at_Reliant_Park_1_Jan_2012.jpg,"Houston Texans, Houston Dynamo FC","[29.6860598, -95.4108751]"
57,Shanghai Stadium,72000,East Asia,China,Shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Shanghai_Stadium_2008.JPG/150px-Shanghai_Stadium_2008.JPG,Shanghai Shenhua,"[31.18563, 121.44211]"
58,M&T Bank Stadium,71008,North America,United States,Baltimore,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/M%26T_Bank_Stadium_USA_soccer.JPG/150px-M%26T_Bank_Stadium_USA_soccer.JPG,Baltimore Ravens,"[39.276905, -76.6227764]"
59,Mercedes-Benz Stadium,71000,North America,United States,"Atlanta, Georgia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg/150px-Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg,"Atlanta United FC, Atlanta Falcons","[33.7545926, -84.4017807]"
60,Riyadh Air Metropolitano,70692,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wanda-Metropolitano.jpg/150px-Wanda-Metropolitano.jpg,Atlético de Madrid,"[37.7836, -3.8267]"
61,Olympic National Sports Complex Stadium,70000,Europe,Ukraine,Kyiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Kyiv_NSC_Olimpiyskyi_5.jpg/150px-Kyiv_NSC_Olimpiyskyi_5.jpg,"Ukraine national football team, FC Dynamo Kyiv","[50.433407, 30.521851]"
62,SoFi Stadium,70000,North America,United States,"Inglewood, California",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/SoFi_Stadium_interior_2021.jpg/150px-SoFi_Stadium_interior_2021.jpg,,"[33.9618556, -118.3562395]"
